sim,theta1,theta2
0,0.44272599906471144,0.9756386926918877
1,0.25438057092258504,0.006459793389261614
2,0.4245028238692432,0.933716564732154
3,0.9526043387836054,0.3232685145617884
4,0.07118911126948746,0.5441548204854868
5,0.014406717327389296,0.8273996208308246
6,0.591027230439258,0.76703425232798
7,0.021680124290485492,0.4735605982217157
8,0.9361200474883039,0.41642994273491873
9,0.26707934773019393,0.8889366608148542
10,0.015581858853057184,0.9931826226596995
11,0.9883458309329503,0.9498205908397324
12,0.21819423094962997,0.9213892148278637
13,0.2632541401044364,0.8208908248224518
14,0.9650423000502428,0.6638129955529981
15,0.3020527019986965,0.6862117114829882
16,0.18151199483595826,0.8227767394639146
17,0.42828050746182444,0.4634912443996707
18,0.9316127842888641,0.1602697210567683
19,0.08403754013358344,0.6312548327285117
20,0.9249985489354333,0.5442213054931905
21,0.8517094459414534,0.32014683575706904
22,0.5120155888779714,0.4133799551048184
23,0.6583990337169641,0.8422055264301817
24,0.7615102972455088,0.3185641103482819
25,0.6555669322645145,0.433938856949746
26,0.3920561638582073,0.13850166029556088
27,0.8339833084508818,0.9480368405810071
28,0.8710107712429032,0.8308527987705325
29,0.7286995997593548,0.5568788945338882
30,0.7773708905270494,0.8696358761059464
31,0.9392195779451988,0.7546630494751753
32,0.7005768705547492,0.25061497301258284
33,0.5656598529842554,0.6179207912787039
34,0.6326363141961172,0.8482217094792032
35,0.17474019891866033,0.25443336154575613
36,0.9264653090905911,0.4302499191868495
37,0.2281421552103572,0.05435027277917803
38,0.98470303152488,0.6117864408299234
39,0.8964202857861763,0.22518602019344325
40,0.0991925815740633,0.5925671677555195
41,0.9229980493543636,0.18793170915045143
42,0.3630958121743739,0.4060166448545558
43,0.618042600449725,0.8019565743607865
44,0.7241795477360948,0.4596158395504022
45,0.4746244240696045,0.49746101085155436
46,0.6746472866062875,0.03313923298932964
47,0.5368301461378581,0.8737640977180872
48,0.4297597520178488,0.5525229760906166
49,0.21381918118101428,0.3446556904129233
50,0.5667984115338446,0.6700719290067538
51,0.26645062598862845,0.9283497080452245
52,0.21504100725808373,0.1960083122501325
53,0.9464091470745635,0.25852835088723136
54,0.6525726169846114,0.7943982449033107
55,0.46263702523541406,0.7337706380138542
56,0.8480015185167291,0.5007928215761218
57,0.19982747440305892,0.4080190049037764
58,0.39998236499046314,0.12167654352755508
59,0.9263593413694328,0.14188782131880384
60,0.4127748566291616,0.01368147149778487
61,0.07601536145951626,0.4165477997753857
62,0.7667005111935035,0.0913696596866369
63,0.35047723135226283,0.5682611751614486
64,0.37881108156691745,0.02258235512833806
65,0.8274755894054989,0.06417156180902583
66,0.9011314950217647,0.1553426416794751
67,0.4979910593949515,0.0037246050199708503
68,0.5438000713278001,0.055093243307654416
69,0.24664555825309453,0.863716841645427
70,0.3425715566521559,0.8266936064828775
71,0.16344638754518592,0.41887724756402545
72,0.03476682604842207,0.012871879785563922
73,0.813266367509807,0.47111845637131833
74,0.13048944297502385,0.5703330889786988
75,0.11838048556919112,0.8483359314689939
76,0.27628396097864416,0.2674151256227112
77,0.4970724894927988,0.5661796444258328
78,0.6439077604338991,0.35141846047417624
79,0.15156476123292806,0.323554231525801
80,0.13881644965705475,0.5002065632801089
81,0.635526356306754,0.5933416217900445
82,0.23256685217012885,0.1971791600660341
83,0.8462909563834788,0.25481117729785996
84,0.17668226931260456,0.40633744250428916
85,0.7786615220428715,0.0412713928975208
86,0.08840967561165358,0.2828873437256101
87,0.15279034561897897,0.553707035409549
88,0.7903654575584679,0.8782499226854483
89,0.0070767026472042804,0.9108560013955737
90,0.63039460221641,0.36215191825120074
91,0.6902754714627407,0.09199264947833563
92,0.7257237190915586,0.8355046022318114
93,0.7507865352866248,0.6648932444301844
94,0.36172895281526163,0.37459856030087135
95,0.600132413169439,0.8945121674037713
96,0.0175025908462908,0.34573417092737957
97,0.1534523304438148,0.5764762392283842
98,0.6330172046693415,0.023014293924040863
99,0.2511679606976316,0.2374596247564117
100,0.7717030715871293,0.9922785256132663
101,0.8398290877822212,0.931320981824128
102,0.3047346406801964,0.5605594556339453
103,0.26261816376753333,0.5157424371996763
104,0.24162417922159596,0.675728030092275
105,0.18287202772976185,0.45455768666318885
106,0.5564694455788473,0.9660156689253425
107,0.7298878705532796,0.5677023380756728
108,0.9103835096047769,0.4064136063758631
109,0.3296397946439511,0.6210917057115244
110,0.9756028239309185,0.8132809893629301
111,0.26807015722054484,0.2894552240958871
112,0.25169618134332983,0.4762080373379095
113,0.3814058699650188,0.8778578303399666
114,0.7635682723908058,0.20026946743056628
115,0.4572283048556677,0.358257077175299
116,0.03792836941035904,0.8103048066174392
117,0.09475408251676276,0.9242146622254929
118,0.4557024970881134,0.7287334190495965
119,0.08159875630774804,0.8218031111342051
120,0.9277252683031291,0.8943865821089524
121,0.14321632029533138,0.9295155179616904
122,0.13998863367048975,0.38464703197168015
123,0.663668639692932,0.210796017058408
124,0.4629610182448626,0.6182875164438918
125,0.4545512718717657,0.23990933104972134
