sim,x1,x2
0,106.34926101368366,88.15439268500207
1,110.84764076127382,126.23262765574306
2,129.34286189026153,126.94462013434344
3,128.72334526450322,105.72598038103388
4,110.99304020892757,111.54826641436753
5,83.89583852346897,107.65764810443876
6,92.24065429933336,110.40841115040702
7,109.07690191139156,101.41863610403922
8,106.87484177328139,98.92626464262823
9,111.69389760024015,101.1160422137346
10,84.89566418224034,96.24663169572081
11,109.8438711678662,105.8845695433246
12,69.27763270395599,100.1611999113547
13,98.45861586187748,105.31176448502796
14,92.37921641814528,91.92430625629369
15,103.83503172745624,113.29800337814257
16,91.3172509988942,77.94047343687008
17,102.2816592924952,126.43773250698666
18,103.14910408864942,105.89760426048623
19,99.21903881799552,104.43308312505891
20,120.91061567135849,111.83047248809599
21,113.42225816807161,107.58439520688047
22,106.33552706454547,104.83467562832332
23,108.66888706051046,101.67277643925381
24,116.18817462482497,108.09428339110096
25,107.92705755022108,98.06221490986351
26,103.00515141144002,92.82817077725936
27,132.47792968716274,125.49487125551056
28,106.69083449586904,87.58603740129465
29,81.29161205440795,87.17531809675835
30,109.46658070824299,101.3219686473626
31,114.79119396873732,94.87223388367717
32,103.85758308368005,93.07934648836839
33,120.20144996920982,112.61151655155882
34,96.8022155258768,81.2435871711251
35,78.32716206532857,75.65092453611909
36,138.3746956179915,102.22769522343825
37,66.58666403551518,75.69204350095677
38,81.1793881367121,93.06213546372405
39,122.99101528549747,116.37528201266157
40,105.63326268121894,105.46592854384757
41,103.65799823289763,120.32490798872806
42,108.6469292611618,89.83137725614455
43,107.59561033918341,137.96203296869047
44,121.93666134035186,120.1430147080499
45,120.6586230956626,109.22694665003067
46,111.99713871340617,106.84618184950472
47,107.4663330684769,133.32661073188535
48,118.65960486481252,104.74810669471479
49,123.12115084897286,107.74604131120209
50,140.7438514721607,137.6851256420306
51,85.24363458031206,82.01672159150857
52,132.95980870951777,84.16643852909311
53,134.01011423249963,108.97589628538755
54,103.15195648447066,117.40758164945588
55,86.9021922875972,108.17616798417258
56,92.97632751478685,108.78676462853919
57,91.65919495163922,84.87976772720384
58,89.19207316890758,96.99886344090666
59,101.31092920066081,103.22614118539074
60,107.16793667070641,104.06691054366631
61,120.22460571443519,101.24746249578176
62,158.56947468481513,127.71900995985331
63,118.04869193461532,108.31535220480653
64,110.89120828565109,114.49935413917412
65,103.19511779720915,92.37494249740469
66,99.36499095351297,99.12461386226312
67,99.30280994416809,92.33141151262362
68,103.37586327925345,99.32911421363465
69,117.91580385607571,108.22246920349666
70,101.13803121777192,91.2279398599422
71,82.29104046098561,105.03948895788821
72,112.83189001323167,107.2659124401325
73,106.50392674789545,102.62538257779335
74,102.57014403752976,99.85798892284316
75,111.75817374869222,115.04961108311014
76,91.85908474056764,108.24418473078309
