sim,theta1,theta2
0,0.6848850169960972,0.9979490576055562
1,0.4334456988531865,0.4683198542322067
2,0.853865287771543,0.0674832606755531
3,0.8349396234413397,0.025196818781206054
4,0.7453633680765741,0.8924054814958639
5,0.5546837472495759,0.9883214851134087
6,0.1272009596610144,0.329444594847765
7,0.9719513715210208,0.1937481401796054
8,0.23993881425185792,0.10307351320088609
9,0.1768489533778469,0.5663047856806583
10,0.4164508200663517,0.4978914458000837
11,0.2894615471862504,0.18455422511057007
12,0.4900525662042252,0.38306149417987667
13,0.5077803006088191,0.2267961589930314
14,0.06874000059655294,0.656964934195906
15,0.779336880398745,0.47782737620568716
16,0.2944455650642547,0.9608754514036385
17,0.3226904860094325,0.8084849180046351
18,0.820711756865901,0.5048060547434496
19,0.7582979552403535,0.7268992669310256
20,0.13380973610175861,0.30065455113594275
21,0.925289309201533,0.47909725786456614
22,0.008025179357628809,0.6533958124900786
23,0.5938887343350555,0.15954735549842392
24,0.6980936402479411,0.3394763200575889
25,0.825748800333863,0.499794060481193
26,0.118303416453436,0.45739892435028906
27,0.5932620066668135,0.48683907031282747
28,0.2713901968333321,0.5622910785455028
29,0.07236391207058857,0.35811386353019903
30,0.4550587191628388,0.17826148943239672
31,0.5266664635195976,0.9724988543920564
32,0.8213608309826658,0.8932192585455635
33,0.508013401932532,0.7224103880576861
34,0.02324755780726695,0.8399874456287469
35,0.41871141839135495,0.33674881928854994
36,0.2204286446521283,0.9090280484512728
37,0.1118397915046705,0.32193041883964824
38,0.4413510580735034,0.3551429071912715
39,0.6991916725472378,0.27731704510559163
40,0.9375724301557115,0.6045357661255794
41,0.7864525990306132,0.0930612794492941
42,0.37385480603977417,0.5312648776491667
43,0.6015756196005212,0.45737313843937333
44,0.9468451014452712,0.7385549455817109
45,0.7370611912028698,0.13534481164855927
46,0.006721289633823235,0.6549743462185118
47,0.5612966842516165,0.7913874771003189
48,0.10017419456084986,0.7288730821470919
49,0.44365862926102706,0.33084448616381124
50,0.32694048808468534,0.6483243494361978
51,0.6661363995611814,0.9090465220987449
52,0.3913693864878387,0.009640254466929066
53,0.20270824610333127,0.48930592336812273
54,0.12377079168187632,0.668277972382616
55,0.6554334854742813,0.37927400878585993
56,0.7308739562407568,0.06958919005968456
57,0.015581855627187169,0.781685193208958
58,0.7955070306563475,0.051731427692687126
59,0.5450010305309968,0.6643183513450043
60,0.9471834410982731,0.4060990511976509
61,0.73385728418752,0.40874924473179564
62,0.498384176740553,0.631365843870662
63,0.7818602109269697,0.8496259739889382
64,0.6732382066071929,0.1328719255863019
65,0.9426425628496324,0.4572144136468591
66,0.12635821592877272,0.21472516554851162
67,0.29958668633361096,0.13031157881436772
